LethalPilot,33.5
humilau,32.5
mrjad333,30
TheUW,27
lurchlurger,25.25
KirynMissy,24.48
IceKing12323,23
Menderlovemybug,23
Labmonjo1210,21.4
BYTECH,20.8
odsstel,20
14ham,19.64666667
NautilusReign,19
macrocosms,19
LightningLucario,18.6
Abach6,17.36666667
